danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.722,0.706,9.0,-4.857,1.0,0.0292,0.072,0.0,0.067,0.599,80.969,audio_features,5fZJQrFKWQLb7FpJXZ1g7K,spotify:track:5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/tracks/5fZJQrFKWQLb7FpJXZ1g7K,https://api.spotify.com/v1/audio-analysis/5fZJQrFKWQLb7FpJXZ1g7K,171292.0,4.0
0.644,0.728,8.0,-5.75,1.0,0.0351,0.0543,0.169,0.161,0.43,88.993,audio_features,3OHfY25tqY28d16oZczHc8,spotify:track:3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/tracks/3OHfY25tqY28d16oZczHc8,https://api.spotify.com/v1/audio-analysis/3OHfY25tqY28d16oZczHc8,153947.0,4.0
0.569,0.882,3.0,-2.777,0.0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,spotify:track:42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/tracks/42VsgItocQwOQC3XWZ8JNA,https://api.spotify.com/v1/audio-analysis/42VsgItocQwOQC3XWZ8JNA,191701.0,4.0
0.745,0.513,1.0,-9.116,1.0,0.087,0.783,0.0,0.216,0.929,109.935,audio_features,5lKFO0PrOC9jmOlPEdjHsL,spotify:track:5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/tracks/5lKFO0PrOC9jmOlPEdjHsL,https://api.spotify.com/v1/audio-analysis/5lKFO0PrOC9jmOlPEdjHsL,154620.0,3.0
0.575,0.658,9.0,-2.34,0.0,0.101,0.0463,2.24e-05,0.0627,0.884,84.273,audio_features,0c82YIGpQ5dCaXpTNCk4sb,spotify:track:0c82YIGpQ5dCaXpTNCk4sb,https://api.spotify.com/v1/tracks/0c82YIGpQ5dCaXpTNCk4sb,https://api.spotify.com/v1/audio-analysis/0c82YIGpQ5dCaXpTNCk4sb,167055.0,5.0
0.816,0.872,11.0,-4.27,0.0,0.0442,0.25,3.7e-06,0.254,0.94,128.924,audio_features,7yrTny7FLWLbfIzsxoicWj,spotify:track:7yrTny7FLWLbfIzsxoicWj,https://api.spotify.com/v1/tracks/7yrTny7FLWLbfIzsxoicWj,https://api.spotify.com/v1/audio-analysis/7yrTny7FLWLbfIzsxoicWj,157209.0,4.0
0.451,0.711,11.0,-4.612,1.0,0.0426,0.24,0.0,0.154,0.661,176.161,audio_features,0SoBfYjQHvL6cuWHtPUYnq,spotify:track:0SoBfYjQHvL6cuWHtPUYnq,https://api.spotify.com/v1/tracks/0SoBfYjQHvL6cuWHtPUYnq,https://api.spotify.com/v1/audio-analysis/0SoBfYjQHvL6cuWHtPUYnq,198496.0,4.0
0.63,0.507,1.0,-4.865,1.0,0.0647,0.0386,0.0,0.0666,0.744,183.896,audio_features,5AkLEnorFvb7WIJOGqKYVT,spotify:track:5AkLEnorFvb7WIJOGqKYVT,https://api.spotify.com/v1/tracks/5AkLEnorFvb7WIJOGqKYVT,https://api.spotify.com/v1/audio-analysis/5AkLEnorFvb7WIJOGqKYVT,161541.0,4.0
0.65,0.507,2.0,-7.27,1.0,0.111,0.706,2.47e-06,0.0725,0.603,179.984,audio_features,5MKbWaXeSQSmzmo7gPQha1,spotify:track:5MKbWaXeSQSmzmo7gPQha1,https://api.spotify.com/v1/tracks/5MKbWaXeSQSmzmo7gPQha1,https://api.spotify.com/v1/audio-analysis/5MKbWaXeSQSmzmo7gPQha1,188424.0,4.0
0.646,0.907,0.0,-1.617,1.0,0.0593,0.422,0.0,0.14,0.816,168.004,audio_features,6kPCcIAGoTeRrh8qrmKa90,spotify:track:6kPCcIAGoTeRrh8qrmKa90,https://api.spotify.com/v1/tracks/6kPCcIAGoTeRrh8qrmKa90,https://api.spotify.com/v1/audio-analysis/6kPCcIAGoTeRrh8qrmKa90,141079.0,4.0
0.686,0.871,4.0,-2.217,0.0,0.0926,0.254,0.000206,0.34,0.626,169.857,audio_features,0EVxchTHYIgx618OrpcrdQ,spotify:track:0EVxchTHYIgx618OrpcrdQ,https://api.spotify.com/v1/tracks/0EVxchTHYIgx618OrpcrdQ,https://api.spotify.com/v1/audio-analysis/0EVxchTHYIgx618OrpcrdQ,153565.0,4.0
0.672,0.702,11.0,-4.662,0.0,0.0314,0.168,0.0,0.0445,0.615,90.039,audio_features,4dLLdfiniBhDP9dlJQIOi4,spotify:track:4dLLdfiniBhDP9dlJQIOi4,https://api.spotify.com/v1/tracks/4dLLdfiniBhDP9dlJQIOi4,https://api.spotify.com/v1/audio-analysis/4dLLdfiniBhDP9dlJQIOi4,193933.0,4.0
0.632,0.942,11.0,-2.665,1.0,0.0492,0.192,0.0,0.151,0.944,157.023,audio_features,1db75lVrSgDFZI1gZh8JlV,spotify:track:1db75lVrSgDFZI1gZh8JlV,https://api.spotify.com/v1/tracks/1db75lVrSgDFZI1gZh8JlV,https://api.spotify.com/v1/audio-analysis/1db75lVrSgDFZI1gZh8JlV,166242.0,4.0
0.801,0.677,9.0,-4.804,1.0,0.0522,0.0604,0.0,0.0717,0.52,100.017,audio_features,5aZ8rf2aPfZrnRWLA7bByo,spotify:track:5aZ8rf2aPfZrnRWLA7bByo,https://api.spotify.com/v1/tracks/5aZ8rf2aPfZrnRWLA7bByo,https://api.spotify.com/v1/audio-analysis/5aZ8rf2aPfZrnRWLA7bByo,172800.0,4.0
0.744,0.709,6.0,-5.778,0.0,0.284,0.0501,0.0,0.0847,0.712,194.055,audio_features,0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,https://api.spotify.com/v1/audio-analysis/0qeIFEGRQqHoaJtLCl0U73,130880.0,4.0
0.724,0.742,7.0,-5.551,0.0,0.0593,0.208,0.0,0.283,0.785,90.038,audio_features,2N0hVk2Ant8751xPZUjCV2,spotify:track:2N0hVk2Ant8751xPZUjCV2,https://api.spotify.com/v1/tracks/2N0hVk2Ant8751xPZUjCV2,https://api.spotify.com/v1/audio-analysis/2N0hVk2Ant8751xPZUjCV2,209846.0,4.0
0.67,0.717,1.0,-6.025,0.0,0.0435,0.0993,0.0,0.179,0.77,135.059,audio_features,6ViJgiKfyqfs52x2pGhuPF,spotify:track:6ViJgiKfyqfs52x2pGhuPF,https://api.spotify.com/v1/tracks/6ViJgiKfyqfs52x2pGhuPF,https://api.spotify.com/v1/audio-analysis/6ViJgiKfyqfs52x2pGhuPF,240436.0,3.0
0.651,0.762,9.0,-2.969,1.0,0.0315,0.0834,0.0,0.0701,0.721,90.989,audio_features,5DSMm0BZXlSvqArsTX00Ge,spotify:track:5DSMm0BZXlSvqArsTX00Ge,https://api.spotify.com/v1/tracks/5DSMm0BZXlSvqArsTX00Ge,https://api.spotify.com/v1/audio-analysis/5DSMm0BZXlSvqArsTX00Ge,144148.0,4.0
0.731,0.855,3.0,-5.115,0.0,0.0516,0.0943,0.0,0.688,0.966,148.052,audio_features,1TyBUtMxdmRfXhW3MmbxtQ,spotify:track:1TyBUtMxdmRfXhW3MmbxtQ,https://api.spotify.com/v1/tracks/1TyBUtMxdmRfXhW3MmbxtQ,https://api.spotify.com/v1/audio-analysis/1TyBUtMxdmRfXhW3MmbxtQ,165919.0,4.0
0.763,0.519,6.0,-7.426,0.0,0.0636,0.22,6.42e-06,0.0816,0.804,100.025,audio_features,42wdz3j7gstgUuhoFLCXqd,spotify:track:42wdz3j7gstgUuhoFLCXqd,https://api.spotify.com/v1/tracks/42wdz3j7gstgUuhoFLCXqd,https://api.spotify.com/v1/audio-analysis/42wdz3j7gstgUuhoFLCXqd,134930.0,4.0
0.705,0.783,9.0,-4.783,0.0,0.0403,0.138,0.0,0.0984,0.454,103.001,audio_features,5QjmUqgpPQgXgg4606DqZF,spotify:track:5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/tracks/5QjmUqgpPQgXgg4606DqZF,https://api.spotify.com/v1/audio-analysis/5QjmUqgpPQgXgg4606DqZF,172427.0,4.0
0.841,0.752,2.0,-4.735,1.0,0.105,0.167,0.00046,0.949,0.67,100.076,audio_features,3OJDtCdYs8QJnui708tEU3,spotify:track:3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/tracks/3OJDtCdYs8QJnui708tEU3,https://api.spotify.com/v1/audio-analysis/3OJDtCdYs8QJnui708tEU3,214643.0,4.0
